Acrocephalus familiaris,,Millerbird, Nihoa Millerbird, Nihoa Reed-warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus gracilirostris,,Lesser Swamp-warbler, Lesser Swamp-Warbler, Lesser Swamp Warbler,,,,,,,,Rousserolle des marais,,,,,,,,,,,,,,,,,,
Acrocephalus griseldis,,Basra Reed-warbler, Basra Reed-Warbler, Basra Reed Warbler,,,,,,,,Rousserolle de Basra,,,,,,,,,,,,,,,,,,
Acrocephalus kerearako,,Cook Islands Reed-warbler, Cook Islands Reed-Warbler, Cook Reed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus luscinius,,Nightingale Reed-warbler, Nightingale Reed Warbler, Nightingale Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus melanopogon,,Moustached Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus mendanae,,Marquesan Reed-warbler, Marquesan Reed Warbler, Marquesan Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus newtoni,,Madagascar Swamp-warbler, Madagascar Swamp-Warbler, Madagascar Swamp Warbler,,,,,,,,Rousserolle malgache,,,,,,,,,,,,,,,,,,
Acrocephalus orinus,,Large-billed Reed-warbler, Large-billed Reed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus paludicola,,Aquatic Warbler,,,,,,,,,,Phragmite aquatique,,,,,,,,,,,,,,,,,,
Acrocephalus palustris,,Marsh Warbler,,,,,,,,,,Rousserolle verderolle,,,,,,,,,,,,,,,,,,
Acrocephalus rehsei,,Nauru Reed-warbler, Nauru Reed Warbler, Finsch's Reed-warbler, Nauru Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus rimatarae,,Rimatara Reed-warbler, Rimatara Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus rodericanus,,Rodrigues Warbler, Rodriguez Brush-Warbler,,,,,,,,,Fauvette de l'Ile de Rodrigues,,,,,,,,,,,,,,,,,,
Acrocephalus rufescens,,Greater Swamp-warbler, Greater Swamp-Warbler, Greater Swamp Warbler,,,,,,,,Rousserolle des cannes,,,,,,,,,,,,,,,,,,
Acrocephalus schoenobaenus,,Sedge Warbler,,,,,,,,,,Phragmite des joncs,,,,,,,,,,,,,,,,,,
Acrocephalus scirpaceus,,Eurasian Reed-warbler, European Reed Warbler, Eurasian Reed Warbler, Reed Warbler,,,,,,,Rousserolle effarvatte,,,,,,,,,,,,,,,,,,
Acrocephalus sechellensis,,Seychelles Warbler, Seychelles Brush Warbler, Seychelles Brush-Warbler,,,,,,,,Fauvette des Seychelles,,,,,,,,,,,,,,,,,,
Acrocephalus sorghophilus,,Streaked Reed-warbler, Speckled Reed Warbler, Streaked Reed-Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus stentoreus,,Clamorous Reed-warbler, Clamorous Reed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus syrinx,,Caroline Islands Reed-warbler, Caroline Islands Reed-Warbler, Carolinian Reed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus taiti,,Henderson Reed-warbler, Henderson Island Reed-Warbler, Henderson Reed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus tangorum,,Manchurian Reed-warbler, Manchurian Reed Warbler,,,,,,,,,,,,,,,,,,,,,,,,,,,
