id,virus,host
2062,West Nile virus,Caracara cheriway
2063, SLEV ,Caracara cheriway
2064,TBE virus,dog
2065,TBE virus,horse
2066,TBE virus,red fox
2067,TBE virus,red deer
2068,TBE virus,Cervus elaphus
2069,TBE virus,Vulpes vulpes
2070,TBE virus,red fox
2071,TBE virus,red deer
2072,TBE virus,Cervus elaphus
2073,TBE virus,Vulpes vulpes
2074,WNV,C modestus
2075,WNV,human
2076,JEV,human
2077, TBEV ,sheep
2078, TBEV ,SHEEP
2079,TICK  BORNE ENCEPHALITIS VIRUS,sheep
2080,TICK  BORNE ENCEPHALITIS VIRUS,SHEEP
2081, TBEV ,sheep
2082, TBEV ,SHEEP
2083,TBEV,A pallipes
2084,TBEV,mice
2085,TBEV,A pallipes
2086,TBEV,mice
2087,West Nile virus,Nankeen night heron
2088,West Nile virus,horse
2089,MVEV,Nankeen night heron
2090,MVEV,horse
2091,MVEV,Nankeen night heron
2092,MVEV,horse
2093, WNV ,Nankeen night heron
2094, WNV ,horse
2095,Japanese encephalitis,Nankeen night heron
2096,Japanese encephalitis,horse
2097,Usutu virus,Dendrocopos major
2098,Usutu virus,great spotted woodpecker
2099,Usutu virus,Pyrrhula pyrrhula
2100,Usutu virus,Dendrocopos major
2101,Usutu virus,great spotted woodpecker
2102,Usutu virus,Pyrrhula pyrrhula
2103,Usutu virus,Dendrocopos major
2104,Usutu virus,great spotted woodpecker
2105,Usutu virus,Pyrrhula pyrrhula
2106,Usutu virus,Dendrocopos major
2107,Usutu virus,great spotted woodpecker
2108,Usutu virus,Pyrrhula pyrrhula
2109,SINV,magpie
2110,SINV,blackbird
2111,SINV,Pica pica
2112,SINV,carrion crow
2113,SINV,Corvus corone
2114,KFDV,monkey
2115,yellow fever,monkeys
2116,dengue,monkeys
2117,KFDV,M radiata
2118,KFDV,M radiata
2119,KFDV,monkeys
2120,SLE,human
2121,yellow fever,human
2122,Louping Ill,sheep
2123,louping ill,sheep
2124,tick  borne encephalitis virus,human
2125,WNV,human
2126,Japanese encephalitis virus,human
2127,JEV,human
2128,West Nile virus,human
2129, WNF ,human
2130, WNF ,human
2131,WNF,human
2132,WNF,human
2133,West Nile,human
2134,West Nile,human
2135,WNV,greater Egyptian gerbil
2136,WNV,Microtus guentheri
2137,WNV,Myodes glareolus
2138,WNV,Tatera indica
2139,WNV,bank vole
2140,WNV,Indian gerbil
2141,WNV,bushy  tailed jird
2142,WNV,Gerbillus pyramidum
2143,WNV,Indian desert jird
2144,WNV,Sekeetamys calurus
2145,WNV,Microtus arvalis
2146,WNV,common vole
2147,WNV,Meriones hurrianae
2148,MVE,human
2149,MVE,human
2150,TBEV,Apodemus sylvaticus
2151,TBEV,Microtus agrestis
2152,TBEV,Apodemus agrarius
2153,TBEV,Microtus arvalis
2154,TBEV,Apodemus flavicollis
2155,TBEV,Myodes glareolus
2156,WNV,white stork
2157,Tick  borne encephalitis,drome
2158,USUV,human
2159,JEV,pig
2160,ZIKV,human
2161,ZIKV,human
2162,CHIK,human
2163,CHIK,monkeys
2164,CHIK,human
2165,CHIK,monkeys
2166,KFDV,monkeys
2167,WNV,Ursus americanus
2168,WNV,American black bear
2169,West Nile,cattle
2170,West Nile,cattle
2171,Langat,cattle
2172,Langat,cattle
2173,HIT,mice
2174,HIT,pig
2175,VNT,mice
2176,VNT,pig
2177,CSF,mice
2178,CSF,pig
2179,Tick  borne encephalitis virus,sheep
2180,TBE virus,sheep
2181,SLEV,Crowned Eagle
2182,WNV,gundi
2183,WNV,gundi
2184,Powassan virus,Peromyscus leucopus
2185,Powassan virus,mouse
2186,WNV,human
2187,USUV,chicken
2188,WNV,brown bear
2189,WNV,Ursus arctos
2190,louping ill,goat
2191, TBEV ,Apodemus agrarius
2192,Tick  Borne Encephalitis,Apodemus agrarius
2193,tick  borne encephalitis virus,Apodemus agrarius
2194,Tick  Borne Encephalitis,Apodemus agrarius
2195,Tick  borne encephalitis virus,mice
2196,ENTV,little free  tailed bat
2197,USUV,human
2198,USUV,human
2199,West Nile virus,human
2200,West Nile virus,human
2201,USUV,human
2202,USUV,human
2203,Japanese encephalitis virus,human
2204,Japanese encephalitis virus,human
2205,West Nile,human
2206,USUV,chicken
2207,USUV,Anser anser
2208,USUV,Gallus domesticus
2209,USUV,chicken
2210,USUV,Anser anser
2211,USUV,Gallus domesticus
2212,MVEV,horse
2213,MVEV,horse
2214,TBEV,cattle
2215,TBEV,sheep
2216,DENV,Human
2217,JEV,Human
2218,LI virus,mouse
2219,SLEV,Picui Ground  Dove
2220,SLEV,Green  barred Woodpecker
2221,SLEV,American Kestrel
2222,SLEV,Falco sparverius
2223,SLEV,Eared Dove
2224,WNV,Picui Ground  Dove
2225,WNV,Green  barred Woodpecker
2226,WNV,American Kestrel
2227,WNV,Falco sparverius
2228,WNV,Eared Dove
2229,TBEV,human
2230,TBE,human
2231,WNV,white stork
2232,TBEV,M arvalis
2233,KFD,human
2234,KFD,monkeys
2235,KFD,human
2236,KFD,monkeys
2237, SLEV ,Human
2238, SLEV ,Human
2239,West Nile,Human
2240,West Nile,Human
2241,West Nile,Human
2242,West Nile,Human
2243,LI virus,Horse
2244,USUV,Turdus merula
2245,USUV,Strix nebulosa
2246,SLEV,human
2247,WNF,white stork
2248, TBE ,monkey
2249, TBE ,Macaca sylvanus
2250, TBE ,Monkey
2251, TBE ,Macaca sylvanus
2252,TBE,monkey
2253,TBE,Macaca sylvanus
2254,TBE,Monkey
2255,TBE,Macaca sylvanus
2256,TMUV,duck
2257,Yersinia,Cynomys mexicanus
2258,WNV,Ciconia ciconia
2259,WNV,Ciconia ciconia
2260,ZIKV,monkeys
2261,ZIKV,monkeys
2262,TBEV,reed warbler
2263,TBEV,reed warbler
2264,WNV,Common Quail
2265,WNV,Coturnix coturnix
2266,SLEV,Common Quail
2267,SLEV,Coturnix coturnix
2268,WNV,Common Quail
2269,WNV,Coturnix coturnix
2270,SLEV,Common Quail
2271,SLEV,Coturnix coturnix
2272,TBEV,human
2273,TBE,human
2274,USUTU,chicken
2275,USUTU,chicken
2276,TBEV,chicken
2277,WNV,chicken
2278,Modoc virus,mice
2279,FSME,chicken
2280,WNV,goose
2281,WNV,magpie
2282,USUV,magpie
2283,WNV,magpie
2284,SINV,magpie
2285,WNV,magpie
2286,TBEV,mouse
2287,tick  borne encephalitis virus,human
2288,Usutu virus,Turdus merula
2289,BAT virus,human
2290,WNV,Tamias striatus
2291,TBE virus,dog
2292,SMRV,Cygnus olor
2293,WNV,Cygnus olor
2294,SMRV,Cygnus olor
2295,WNV,Cygnus olor
2296,dengue virus,Macaca nemestrina
2297,chikungunya virus,Macaca nemestrina
2298,Japanese encephalitis virus,Macaca nemestrina
2299,TBEV,sheep
2300,SLE,human
2301,MVE,human
2302,CNS,human
2303,tick  borne encephalitis virus,Spermophilus undulatus
2304,tick  borne encephalitis virus,long  tailed ground squirrel
2305,tick  borne encephalitis virus,human
2306,WNV,horse
2307,Usutu virus,blackbird
2308,Usutu virus,blackbird
2309,KFD,Macaca radiata
2310,KFDV,Macaca radiata
2311,TBE,human
2312,TBE,human
2313,TBE,human
2314, INIA ,INIA
2315,TBE,human
2316,Bagaza virus,turkey
2317,Ilheus virus,turkey
2318,SLE,cattle
2319,SLE,human
2320,TBE,cattle
2321,TBE,sheep
2322,SLEV,human
2323,WNV,Jamaican oriole
2324,WNV,Bananaquit
2325,WNV,White  chinned thrush
2326,WNV,White  chinned thrush
2327,WNV,Black  faced grassquit
2328,WNV,White  chinned thrush
2329,WNV,White  chinned thrush
2330,WNV,Caribbean dove
2331,WNV,Bananaquit
2332,WNV,Greater Antillean grackle
2333,WNV,Loggerhead kingbird
2334,WNV,Orangequit
2335,WNV,Golden warbler
2336,WNV,Bananaquit
2337,WNV,Loggerhead kingbird
2338,WNV,Jamaican elaenia
2339,WNV,Caribbean dove
2340,WNV,Dendroica petechia
2341,WNV,Bananaquit
2342,WNV,Caribbean dove
2343,WNV,Black  faced grassquit
2344,WNV,Northern mockingbird
2345,WNV,Common ground  dove
2346,WNV,Jamaican elaenia
2347,WNV,White  eyed thrush
2348,WNV,Jamaican vireo
2349,WNV,Jamaican elaenia
2350,WNV,Jamaican oriole
2351,WNV,Bananaquit
2352,WNV,White  chinned thrush
2353,WNV,White  chinned thrush
2354,WNV,Black  faced grassquit
2355,WNV,White  chinned thrush
2356,WNV,White  chinned thrush
2357,WNV,Caribbean dove
2358,WNV,Bananaquit
2359,WNV,Greater Antillean grackle
2360,WNV,Loggerhead kingbird
2361,WNV,Orangequit
2362,WNV,Golden warbler
2363,WNV,Bananaquit
2364,WNV,Loggerhead kingbird
2365,WNV,Jamaican elaenia
2366,WNV,Caribbean dove
2367,WNV,Dendroica petechia
2368,WNV,Bananaquit
2369,WNV,Caribbean dove
2370,WNV,Black  faced grassquit
2371,WNV,Northern mockingbird
2372,WNV,Common ground  dove
2373,WNV,Jamaican elaenia
2374,WNV,White  eyed thrush
2375,WNV,Jamaican vireo
2376,WNV,Jamaican elaenia
2377,WNV,Jamaican oriole
2378,WNV,Bananaquit
2379,WNV,White  chinned thrush
2380,WNV,White  chinned thrush
2381,WNV,Black  faced grassquit
2382,WNV,White  chinned thrush
2383,WNV,White  chinned thrush
2384,WNV,Caribbean dove
2385,WNV,Bananaquit
2386,WNV,Greater Antillean grackle
2387,WNV,Loggerhead kingbird
2388,WNV,Orangequit
2389,WNV,Golden warbler
2390,WNV,Bananaquit
2391,WNV,Loggerhead kingbird
2392,WNV,Jamaican elaenia
2393,WNV,Caribbean dove
2394,WNV,Dendroica petechia
2395,WNV,Bananaquit
2396,WNV,Caribbean dove
2397,WNV,Black  faced grassquit
2398,WNV,Northern mockingbird
2399,WNV,Common ground  dove
2400,WNV,Jamaican elaenia
2401,WNV,White  eyed thrush
2402,WNV,Jamaican vireo
2403,WNV,Jamaican elaenia
2404,WNV,Jamaican oriole
2405,WNV,Bananaquit
2406,WNV,White  chinned thrush
2407,WNV,White  chinned thrush
2408,WNV,Black  faced grassquit
2409,WNV,White  chinned thrush
2410,WNV,White  chinned thrush
2411,WNV,Caribbean dove
2412,WNV,Bananaquit
2413,WNV,Greater Antillean grackle
2414,WNV,Loggerhead kingbird
2415,WNV,Orangequit
2416,WNV,Golden warbler
2417,WNV,Bananaquit
2418,WNV,Loggerhead kingbird
2419,WNV,Jamaican elaenia
2420,WNV,Caribbean dove
2421,WNV,Dendroica petechia
2422,WNV,Bananaquit
2423,WNV,Caribbean dove
2424,WNV,Black  faced grassquit
2425,WNV,Northern mockingbird
2426,WNV,Common ground  dove
2427,WNV,Jamaican elaenia
2428,WNV,White  eyed thrush
2429,WNV,Jamaican vireo
2430,WNV,Jamaican elaenia
2431,SLEV,Jamaican oriole
2432,SLEV,Bananaquit
2433,SLEV,White  chinned thrush
2434,SLEV,White  chinned thrush
2435,SLEV,Black  faced grassquit
2436,SLEV,White  chinned thrush
2437,SLEV,White  chinned thrush
2438,SLEV,Caribbean dove
2439,SLEV,Bananaquit
2440,SLEV,Greater Antillean grackle
2441,SLEV,Loggerhead kingbird
2442,SLEV,Orangequit
2443,SLEV,Golden warbler
2444,SLEV,Bananaquit
2445,SLEV,Loggerhead kingbird
2446,SLEV,Jamaican elaenia
2447,SLEV,Caribbean dove
2448,SLEV,Dendroica petechia
2449,SLEV,Bananaquit
2450,SLEV,Caribbean dove
2451,SLEV,Black  faced grassquit
2452,SLEV,Northern mockingbird
2453,SLEV,Common ground  dove
2454,SLEV,Jamaican elaenia
2455,SLEV,White  eyed thrush
2456,SLEV,Jamaican vireo
2457,SLEV,Jamaican elaenia
2458,WNV,Jamaican oriole
2459,WNV,Bananaquit
2460,WNV,White  chinned thrush
2461,WNV,White  chinned thrush
2462,WNV,Black  faced grassquit
2463,WNV,White  chinned thrush
2464,WNV,White  chinned thrush
2465,WNV,Caribbean dove
2466,WNV,Bananaquit
2467,WNV,Greater Antillean grackle
2468,WNV,Loggerhead kingbird
2469,WNV,Orangequit
2470,WNV,Golden warbler
2471,WNV,Bananaquit
2472,WNV,Loggerhead kingbird
2473,WNV,Jamaican elaenia
2474,WNV,Caribbean dove
2475,WNV,Dendroica petechia
2476,WNV,Bananaquit
2477,WNV,Caribbean dove
2478,WNV,Black  faced grassquit
2479,WNV,Northern mockingbird
2480,WNV,Common ground  dove
2481,WNV,Jamaican elaenia
2482,WNV,White  eyed thrush
2483,WNV,Jamaican vireo
2484,WNV,Jamaican elaenia
2485,West Nile virus,Jamaican oriole
2486,West Nile virus,Bananaquit
2487,West Nile virus,White  chinned thrush
2488,West Nile virus,White  chinned thrush
2489,West Nile virus,Black  faced grassquit
2490,West Nile virus,White  chinned thrush
2491,West Nile virus,White  chinned thrush
2492,West Nile virus,Caribbean dove
2493,West Nile virus,Bananaquit
2494,West Nile virus,Greater Antillean grackle
2495,West Nile virus,Loggerhead kingbird
2496,West Nile virus,Orangequit
2497,West Nile virus,Golden warbler
2498,West Nile virus,Bananaquit
2499,West Nile virus,Loggerhead kingbird
2500,West Nile virus,Jamaican elaenia
2501,West Nile virus,Caribbean dove
2502,West Nile virus,Dendroica petechia
2503,West Nile virus,Bananaquit
2504,West Nile virus,Caribbean dove
2505,West Nile virus,Black  faced grassquit
2506,West Nile virus,Northern mockingbird
2507,West Nile virus,Common ground  dove
2508,West Nile virus,Jamaican elaenia
2509,West Nile virus,White  eyed thrush
2510,West Nile virus,Jamaican vireo
2511,West Nile virus,Jamaican elaenia
2512,WNV,Jamaican oriole
2513,WNV,Bananaquit
2514,WNV,White  chinned thrush
2515,WNV,White  chinned thrush
2516,WNV,Black  faced grassquit
2517,WNV,White  chinned thrush
2518,WNV,White  chinned thrush
2519,WNV,Caribbean dove
2520,WNV,Bananaquit
2521,WNV,Greater Antillean grackle
2522,WNV,Loggerhead kingbird
2523,WNV,Orangequit
2524,WNV,Golden warbler
2525,WNV,Bananaquit
2526,WNV,Loggerhead kingbird
2527,WNV,Jamaican elaenia
2528,WNV,Caribbean dove
2529,WNV,Dendroica petechia
2530,WNV,Bananaquit
2531,WNV,Caribbean dove
2532,WNV,Black  faced grassquit
2533,WNV,Northern mockingbird
2534,WNV,Common ground  dove
2535,WNV,Jamaican elaenia
2536,WNV,White  eyed thrush
2537,WNV,Jamaican vireo
2538,WNV,Jamaican elaenia
2539,WNV,Jamaican oriole
2540,WNV,Bananaquit
2541,WNV,White  chinned thrush
2542,WNV,White  chinned thrush
2543,WNV,Black  faced grassquit
2544,WNV,White  chinned thrush
2545,WNV,White  chinned thrush
2546,WNV,Caribbean dove
2547,WNV,Bananaquit
2548,WNV,Greater Antillean grackle
2549,WNV,Loggerhead kingbird
2550,WNV,Orangequit
2551,WNV,Golden warbler
2552,WNV,Bananaquit
2553,WNV,Loggerhead kingbird
2554,WNV,Jamaican elaenia
2555,WNV,Caribbean dove
2556,WNV,Dendroica petechia
2557,WNV,Bananaquit
2558,WNV,Caribbean dove
2559,WNV,Black  faced grassquit
2560,WNV,Northern mockingbird
2561,WNV,Common ground  dove
2562,WNV,Jamaican elaenia
2563,WNV,White  eyed thrush
2564,WNV,Jamaican vireo
2565,WNV,Jamaican elaenia
2566,WNV,Jamaican oriole
2567,WNV,Bananaquit
2568,WNV,White  chinned thrush
2569,WNV,White  chinned thrush
2570,WNV,Black  faced grassquit
2571,WNV,White  chinned thrush
2572,WNV,White  chinned thrush
2573,WNV,Caribbean dove
2574,WNV,Bananaquit
2575,WNV,Greater Antillean grackle
2576,WNV,Loggerhead kingbird
2577,WNV,Orangequit
2578,WNV,Golden warbler
2579,WNV,Bananaquit
2580,WNV,Loggerhead kingbird
2581,WNV,Jamaican elaenia
2582,WNV,Caribbean dove
2583,WNV,Dendroica petechia
2584,WNV,Bananaquit
2585,WNV,Caribbean dove
2586,WNV,Black  faced grassquit
2587,WNV,Northern mockingbird
2588,WNV,Common ground  dove
2589,WNV,Jamaican elaenia
2590,WNV,White  eyed thrush
2591,WNV,Jamaican vireo
2592,WNV,Jamaican elaenia
2593,WNV,Jamaican oriole
2594,WNV,Bananaquit
2595,WNV,White  chinned thrush
2596,WNV,White  chinned thrush
2597,WNV,Black  faced grassquit
2598,WNV,White  chinned thrush
2599,WNV,White  chinned thrush
2600,WNV,Caribbean dove
2601,WNV,Bananaquit
2602,WNV,Greater Antillean grackle
2603,WNV,Loggerhead kingbird
2604,WNV,Orangequit
2605,WNV,Golden warbler
2606,WNV,Bananaquit
2607,WNV,Loggerhead kingbird
2608,WNV,Jamaican elaenia
2609,WNV,Caribbean dove
2610,WNV,Dendroica petechia
2611,WNV,Bananaquit
2612,WNV,Caribbean dove
2613,WNV,Black  faced grassquit
2614,WNV,Northern mockingbird
2615,WNV,Common ground  dove
2616,WNV,Jamaican elaenia
2617,WNV,White  eyed thrush
2618,WNV,Jamaican vireo
2619,WNV,Jamaican elaenia
2620,SLEV,Jamaican oriole
2621,SLEV,Bananaquit
2622,SLEV,White  chinned thrush
2623,SLEV,White  chinned thrush
2624,SLEV,Black  faced grassquit
2625,SLEV,White  chinned thrush
2626,SLEV,White  chinned thrush
2627,SLEV,Caribbean dove
2628,SLEV,Bananaquit
2629,SLEV,Greater Antillean grackle
2630,SLEV,Loggerhead kingbird
2631,SLEV,Orangequit
2632,SLEV,Golden warbler
2633,SLEV,Bananaquit
2634,SLEV,Loggerhead kingbird
2635,SLEV,Jamaican elaenia
2636,SLEV,Caribbean dove
2637,SLEV,Dendroica petechia
2638,SLEV,Bananaquit
2639,SLEV,Caribbean dove
2640,SLEV,Black  faced grassquit
2641,SLEV,Northern mockingbird
2642,SLEV,Common ground  dove
2643,SLEV,Jamaican elaenia
2644,SLEV,White  eyed thrush
2645,SLEV,Jamaican vireo
2646,SLEV,Jamaican elaenia
2647,WNV,Jamaican oriole
2648,WNV,Bananaquit
2649,WNV,White  chinned thrush
2650,WNV,White  chinned thrush
2651,WNV,Black  faced grassquit
2652,WNV,White  chinned thrush
2653,WNV,White  chinned thrush
2654,WNV,Caribbean dove
2655,WNV,Bananaquit
2656,WNV,Greater Antillean grackle
2657,WNV,Loggerhead kingbird
2658,WNV,Orangequit
2659,WNV,Golden warbler
2660,WNV,Bananaquit
2661,WNV,Loggerhead kingbird
2662,WNV,Jamaican elaenia
2663,WNV,Caribbean dove
2664,WNV,Dendroica petechia
2665,WNV,Bananaquit
2666,WNV,Caribbean dove
2667,WNV,Black  faced grassquit
2668,WNV,Northern mockingbird
2669,WNV,Common ground  dove
2670,WNV,Jamaican elaenia
2671,WNV,White  eyed thrush
2672,WNV,Jamaican vireo
2673,WNV,Jamaican elaenia
2674,ILHV,Jamaican oriole
2675,ILHV,Bananaquit
2676,ILHV,White  chinned thrush
2677,ILHV,White  chinned thrush
2678,ILHV,Black  faced grassquit
2679,ILHV,White  chinned thrush
2680,ILHV,White  chinned thrush
2681,ILHV,Caribbean dove
2682,ILHV,Bananaquit
2683,ILHV,Greater Antillean grackle
2684,ILHV,Loggerhead kingbird
2685,ILHV,Orangequit
2686,ILHV,Golden warbler
2687,ILHV,Bananaquit
2688,ILHV,Loggerhead kingbird
2689,ILHV,Jamaican elaenia
2690,ILHV,Caribbean dove
2691,ILHV,Dendroica petechia
2692,ILHV,Bananaquit
2693,ILHV,Caribbean dove
2694,ILHV,Black  faced grassquit
2695,ILHV,Northern mockingbird
2696,ILHV,Common ground  dove
2697,ILHV,Jamaican elaenia
2698,ILHV,White  eyed thrush
2699,ILHV,Jamaican vireo
2700,ILHV,Jamaican elaenia
2701,WNV,Jamaican oriole
2702,WNV,Bananaquit
2703,WNV,White  chinned thrush
2704,WNV,White  chinned thrush
2705,WNV,Black  faced grassquit
2706,WNV,White  chinned thrush
2707,WNV,White  chinned thrush
2708,WNV,Caribbean dove
2709,WNV,Bananaquit
2710,WNV,Greater Antillean grackle
2711,WNV,Loggerhead kingbird
2712,WNV,Orangequit
2713,WNV,Golden warbler
2714,WNV,Bananaquit
2715,WNV,Loggerhead kingbird
2716,WNV,Jamaican elaenia
2717,WNV,Caribbean dove
2718,WNV,Dendroica petechia
2719,WNV,Bananaquit
2720,WNV,Caribbean dove
2721,WNV,Black  faced grassquit
2722,WNV,Northern mockingbird
2723,WNV,Common ground  dove
2724,WNV,Jamaican elaenia
2725,WNV,White  eyed thrush
2726,WNV,Jamaican vireo
2727,WNV,Jamaican elaenia
2728,SLEV,Jamaican oriole
2729,SLEV,Bananaquit
2730,SLEV,White  chinned thrush
2731,SLEV,White  chinned thrush
2732,SLEV,Black  faced grassquit
2733,SLEV,White  chinned thrush
2734,SLEV,White  chinned thrush
2735,SLEV,Caribbean dove
2736,SLEV,Bananaquit
2737,SLEV,Greater Antillean grackle
2738,SLEV,Loggerhead kingbird
2739,SLEV,Orangequit
2740,SLEV,Golden warbler
2741,SLEV,Bananaquit
2742,SLEV,Loggerhead kingbird
2743,SLEV,Jamaican elaenia
2744,SLEV,Caribbean dove
2745,SLEV,Dendroica petechia
2746,SLEV,Bananaquit
2747,SLEV,Caribbean dove
2748,SLEV,Black  faced grassquit
2749,SLEV,Northern mockingbird
2750,SLEV,Common ground  dove
2751,SLEV,Jamaican elaenia
2752,SLEV,White  eyed thrush
2753,SLEV,Jamaican vireo
2754,SLEV,Jamaican elaenia
2755,WNV,Jamaican oriole
2756,WNV,Bananaquit
2757,WNV,White  chinned thrush
2758,WNV,White  chinned thrush
2759,WNV,Black  faced grassquit
2760,WNV,White  chinned thrush
2761,WNV,White  chinned thrush
2762,WNV,Caribbean dove
2763,WNV,Bananaquit
2764,WNV,Greater Antillean grackle
2765,WNV,Loggerhead kingbird
2766,WNV,Orangequit
2767,WNV,Golden warbler
2768,WNV,Bananaquit
2769,WNV,Loggerhead kingbird
2770,WNV,Jamaican elaenia
2771,WNV,Caribbean dove
2772,WNV,Dendroica petechia
2773,WNV,Bananaquit
2774,WNV,Caribbean dove
2775,WNV,Black  faced grassquit
2776,WNV,Northern mockingbird
2777,WNV,Common ground  dove
2778,WNV,Jamaican elaenia
2779,WNV,White  eyed thrush
2780,WNV,Jamaican vireo
2781,WNV,Jamaican elaenia
2782,WNV,Jamaican oriole
2783,WNV,Bananaquit
2784,WNV,White  chinned thrush
2785,WNV,White  chinned thrush
2786,WNV,Black  faced grassquit
2787,WNV,White  chinned thrush
2788,WNV,White  chinned thrush
2789,WNV,Caribbean dove
2790,WNV,Bananaquit
2791,WNV,Greater Antillean grackle
2792,WNV,Loggerhead kingbird
2793,WNV,Orangequit
2794,WNV,Golden warbler
2795,WNV,Bananaquit
2796,WNV,Loggerhead kingbird
2797,WNV,Jamaican elaenia
2798,WNV,Caribbean dove
2799,WNV,Dendroica petechia
2800,WNV,Bananaquit
2801,WNV,Caribbean dove
2802,WNV,Black  faced grassquit
2803,WNV,Northern mockingbird
2804,WNV,Common ground  dove
2805,WNV,Jamaican elaenia
2806,WNV,White  eyed thrush
2807,WNV,Jamaican vireo
2808,WNV,Jamaican elaenia
2809,WNV,Jamaican oriole
2810,WNV,Bananaquit
2811,WNV,White  chinned thrush
2812,WNV,White  chinned thrush
2813,WNV,Black  faced grassquit
2814,WNV,White  chinned thrush
2815,WNV,White  chinned thrush
2816,WNV,Caribbean dove
2817,WNV,Bananaquit
2818,WNV,Greater Antillean grackle
2819,WNV,Loggerhead kingbird
2820,WNV,Orangequit
2821,WNV,Golden warbler
2822,WNV,Bananaquit
2823,WNV,Loggerhead kingbird
2824,WNV,Jamaican elaenia
2825,WNV,Caribbean dove
2826,WNV,Dendroica petechia
2827,WNV,Bananaquit
2828,WNV,Caribbean dove
2829,WNV,Black  faced grassquit
2830,WNV,Northern mockingbird
2831,WNV,Common ground  dove
2832,WNV,Jamaican elaenia
2833,WNV,White  eyed thrush
2834,WNV,Jamaican vireo
2835,WNV,Jamaican elaenia
2836,WNV,Jamaican oriole
2837,WNV,Bananaquit
2838,WNV,White  chinned thrush
2839,WNV,White  chinned thrush
2840,WNV,Black  faced grassquit
2841,WNV,White  chinned thrush
2842,WNV,White  chinned thrush
2843,WNV,Caribbean dove
2844,WNV,Bananaquit
2845,WNV,Greater Antillean grackle
2846,WNV,Loggerhead kingbird
2847,WNV,Orangequit
2848,WNV,Golden warbler
2849,WNV,Bananaquit
2850,WNV,Loggerhead kingbird
2851,WNV,Jamaican elaenia
2852,WNV,Caribbean dove
2853,WNV,Dendroica petechia
2854,WNV,Bananaquit
2855,WNV,Caribbean dove
2856,WNV,Black  faced grassquit
2857,WNV,Northern mockingbird
2858,WNV,Common ground  dove
2859,WNV,Jamaican elaenia
2860,WNV,White  eyed thrush
2861,WNV,Jamaican vireo
2862,WNV,Jamaican elaenia
2863,WNV,Jamaican oriole
2864,WNV,Bananaquit
2865,WNV,White  chinned thrush
2866,WNV,White  chinned thrush
2867,WNV,Black  faced grassquit
2868,WNV,White  chinned thrush
2869,WNV,White  chinned thrush
2870,WNV,Caribbean dove
2871,WNV,Bananaquit
2872,WNV,Greater Antillean grackle
2873,WNV,Loggerhead kingbird
2874,WNV,Orangequit
2875,WNV,Golden warbler
2876,WNV,Bananaquit
2877,WNV,Loggerhead kingbird
2878,WNV,Jamaican elaenia
2879,WNV,Caribbean dove
2880,WNV,Dendroica petechia
2881,WNV,Bananaquit
2882,WNV,Caribbean dove
2883,WNV,Black  faced grassquit
2884,WNV,Northern mockingbird
2885,WNV,Common ground  dove
2886,WNV,Jamaican elaenia
2887,WNV,White  eyed thrush
2888,WNV,Jamaican vireo
2889,WNV,Jamaican elaenia
2890,WNV,Jamaican oriole
2891,WNV,Bananaquit
2892,WNV,White  chinned thrush
2893,WNV,White  chinned thrush
2894,WNV,Black  faced grassquit
2895,WNV,White  chinned thrush
2896,WNV,White  chinned thrush
2897,WNV,Caribbean dove
2898,WNV,Bananaquit
2899,WNV,Greater Antillean grackle
2900,WNV,Loggerhead kingbird
2901,WNV,Orangequit
2902,WNV,Golden warbler
2903,WNV,Bananaquit
2904,WNV,Loggerhead kingbird
2905,WNV,Jamaican elaenia
2906,WNV,Caribbean dove
2907,WNV,Dendroica petechia
2908,WNV,Bananaquit
2909,WNV,Caribbean dove
2910,WNV,Black  faced grassquit
2911,WNV,Northern mockingbird
2912,WNV,Common ground  dove
2913,WNV,Jamaican elaenia
2914,WNV,White  eyed thrush
2915,WNV,Jamaican vireo
2916,WNV,Jamaican elaenia
2917,WNV,Jamaican oriole
2918,WNV,Bananaquit
2919,WNV,White  chinned thrush
2920,WNV,White  chinned thrush
2921,WNV,Black  faced grassquit
2922,WNV,White  chinned thrush
2923,WNV,White  chinned thrush
2924,WNV,Caribbean dove
2925,WNV,Bananaquit
2926,WNV,Greater Antillean grackle
2927,WNV,Loggerhead kingbird
2928,WNV,Orangequit
2929,WNV,Golden warbler
2930,WNV,Bananaquit
2931,WNV,Loggerhead kingbird
2932,WNV,Jamaican elaenia
2933,WNV,Caribbean dove
2934,WNV,Dendroica petechia
2935,WNV,Bananaquit
2936,WNV,Caribbean dove
2937,WNV,Black  faced grassquit
2938,WNV,Northern mockingbird
2939,WNV,Common ground  dove
2940,WNV,Jamaican elaenia
2941,WNV,White  eyed thrush
2942,WNV,Jamaican vireo
2943,WNV,Jamaican elaenia
2944,SSEV,sheep
2945,JEV,human
2946,WEE,horse
2947,EEE,horse
2948,yellow fever,mice
2949,dengue,mice
2950,SLEV,Caribbean dove
2951,SLEV,Golden warbler
2952,SLEV,Yellow warbler
2953,SLEV,Caribbean elaenia
2954,SLEV,Pearly  eyed thrasher
2955,SLEV,Dendroica petechia
2956,SLEV,Northern waterthrush
2957,SLEV,Prairie warbler
2958,WNV,Caribbean dove
2959,WNV,Golden warbler
2960,WNV,Yellow warbler
2961,WNV,Caribbean elaenia
2962,WNV,Pearly  eyed thrasher
2963,WNV,Dendroica petechia
2964,WNV,Northern waterthrush
