id,virus,host
465,TBE,cattle
466,TBEV,cattle
467,Usutu,Larus ridibundus
468,Usutu,black  headed gull
469,bluetongue,mouflon
470,epizootic hemorrhagic disease,mouflon
471,PHA,horse
472,TBEV,cow
473,TBEV,sheep
474,TBEV,human
475,TBEV,goat
476,CPE,cow
477,CPE,sheep
478,CPE,human
479,CPE,goat
480,SLE,human
481,SLE,cattle
482,WNV,human
483,JEV,human
484,SLEV,human
485,JEV,human
486,WNV,Great Tit
487,WNV,Great Spotted Woodpecker
488,WNV,Northern Goshawk
489,SIN,human
490,SIN,human
491,ZIKV,human
492,ZIKV,human
493,SLE,killer whale
494,SLE virus,killer whale
495,CDC,killer whale
496,USUV,blackbird
497,WNV,jay
498,TBE,human
499,TBE,human
500,WNV,blackbird
501,TBEV,mouse
502,TBEV,goat
503,TBEV,mouse
504,TBEV,goat
505,WNV,human
506,TBE virus,A speciosus
507,LAN,human
508,CHIK,human
509,TBE,human
510,TBE,R norvegicus
511,TBE,A speciosus
512,USUV,Blackbird
513,Entebbe bat virus,sheep
514,Saumarez Reef virus,sheep
515,Modoc virus,sheep
516,Montana myotis leukoencephalitis virus,sheep
517,Dengue virus,sheep
518,Omsk hemorrhagic fever virus,sheep
519,BSQV,sheep
520,Aroa virus,sheep
521,KFDV,sheep
522,Murray Valley encephalitis virus,sheep
523,ENTV,sheep
524,Kadam virus,sheep
525,Royal Farm virus,sheep
526,Bagaza virus,sheep
527,AHFV,sheep
528,Yokose virus,sheep
529,West Nile virus,sheep
530,Louping ill virus,sheep
531,OHFV,sheep
532,BAGV,sheep
533,tick  borne encephalitis,sheep
534,Japanese encephalitis virus,sheep
535,Tyuleniy virus,sheep
536,Dengue virus,sheep
537,MVEV,sheep
538,Apoi virus,sheep
539,WNV,sheep
540,LIV,sheep
541,ROCV,sheep
542,Usutu virus,sheep
543,SLEV,sheep
544,KUNV,sheep
545,TYUV,sheep
546,Meaban virus,sheep
547,Ilheus virus,sheep
548,Rio Bravo virus,sheep
549,USUV,sheep
550,JEV,sheep
551,Dengue virus,sheep
552,tick  borne encephalitis virus,sheep
553,Yellow fever virus,sheep
554,Tick  borne encephalitis,sheep
555,Yellow fever virus,sheep
556,Powassan virus,sheep
557,MEAV,sheep
558,Kokobera virus,sheep
559,ILHV,sheep
560,RBV,sheep
561,Langat virus,sheep
562,Kyasanur forest disease virus,sheep
563,Dengue virus,sheep
564,IGUV,sheep
565,POWV,sheep
566,YFV,sheep
567,KOKV,sheep
568,Gadgets Gully virus,sheep
569,tick  borne encephalitis,human
570,JEV,swine
571,JEV,Black  crowned Night Heron
572,JEV,Bubulcus ibis
573,JEV,Cattle Egret
574,JEV,Sus scrofa
575,JEV,Nycticorax nycticorax
576,LI virus,mouse
577,LI virus,mouse
578,USUV,T merula
579,USUV,Blackbird
580,PHA,horse
581,Chikungunya,human
582,TBEV,cattle
583,TBEV,Vulpes vulpes
584,TBEV,Capreolus capreolus
585,TBEV,roe deer
586,TBEV,red fox
587,TBEV,cattle
588,TBEV,Vulpes vulpes
589,TBEV,Capreolus capreolus
590,TBEV,roe deer
591,TBEV,red fox
592,yellow fever,Robin
593,SLEV,human
594,EEEV,human
595,WNV,human
596,ZIKV,human
597,SINV,redwing
598,Modoc,deer mouse
599,WNV,mice
600,WNV,Mice
601,TBEV,red deer
602,TBEV,red deer
603,WNV,Falco sparverius
604,WNV,American kestrel
