id,virus,host,probability_positive
223,Tick  borne encephalitis,goat,0.811348455
224,USUTU virus,Gallus domesticus,0.811348455
225,USUTU virus,chicken,0.811348455
226,SINV,carrion crow,0.911581805
227,SINV,Corvus corone,0.911581805
228,SINV,magpie,0.911581805
229,SINV,blackbird,0.911581805
230,SINV,Pica pica,0.911581805
231,WNV,Crowned Eagle,0.92989707
232,TBE,sheep,0.7697305259999999
233,USUV,chicken,0.811348455
234,West Nile virus,Buteo lineatus,0.9778846520000001
235,West Nile virus,Red  shouldered Hawk,0.9778846520000001
236,WNV,blackbird,0.811348455
237,KFDV,mice,0.989716913
238,TBE,monkeys,0.9723201490000001
239,TBE,monkey,0.919551329
240,TBE,Macaca sylvanus,0.919551329
241,TBE,monkey,0.9723201490000001
242,TBEV,monkeys,0.9916422090000001
243,TBEV,monkey,0.9723201490000001
244,TBEV,Macaca sylvanus,0.9723201490000001
245,TBEV,monkey,0.9723201490000001
246,TBE,monkeys,0.92374338
247,TBE,monkey,0.811348455
248,TBE,Macaca sylvanus,0.811348455
249,TBE,monkey,0.978352628
250,BHK,mice,0.92989707
251,TBEV,mice,0.9927208340000001
252,Tick  borne encephalitis virus,mice,0.9927208340000001
253,KFDV,monkeys,0.9905223470000001
254,KFDV,monkey,0.9905223470000001
255,Tick  Borne Encephalitis,Apodemus agrarius,0.7379873859999999
256, TBEV ,Apodemus agrarius,0.811348455
257,Tick  Borne Encephalitis,Apodemus agrarius,0.7379873859999999
258,tick  borne encephalitis virus,Apodemus agrarius,0.535475279
259,YF virus,mice,0.7697305259999999
260,Semliki Forest virus,hog,0.978352628
261,TBEV,human,0.992100743
262,TBEV,human,0.992100743
263,WNV,chicken,0.780477858
264,WNV,rabbit,0.780477858
265,WNV,mouse,0.911581805
266,WNV,mouse,0.452557473
267,WNV,chicken,0.911581805
268,WNV,rabbit,0.452557473
269,LAN,human,0.9166542679999999
270,CHIK,human,0.9166542679999999
271,Tick  borne encephalitis,goat,0.811348455
272,TBE,human,0.7697305259999999
273,VEE,white  footed mouse,0.963457082
274,VEE,Procyon lotor,0.911581805
275,VEE,rabbit,0.963457082
276,VEE,white  footed mouse,0.9166542679999999
277,VEE,Procyon lotor,0.97136427
278,VEE,rabbit,0.9166542679999999
279,Usutu virus,human,0.7697305259999999
280,KFDV,monkey,0.971334661
281,KFDV,M radiata,0.9916422090000001
282,KFDV,M radiata,0.9723201490000001
283,KFDV,monkeys,0.9723201490000001
284,TBEV,human,0.9916422090000001
285,TBEV,human,0.8482767240000001
286,JEV,human,0.811348455
287,TBE,human,0.7697305259999999
288,Sapporo,human,0.7697305259999999
289,duck circovirus,duck,0.7697305259999999
290,duck circovirus,duck,0.7697305259999999
291,duck circovirus,Muscovy duck,0.7697305259999999
292,duck circovirus,goose,0.811348455
293,duck circovirus,goose,0.7697305259999999
294,duck circovirus,duck,0.7697305259999999
295,duck circovirus,goose,0.7697305259999999
296,duck circovirus,duck,0.7697305259999999
297,TMUV,duck,0.9116732940000001
298,SINV,human,0.971334661
299,SLE,human,0.5
300,FSME,goat,0.811348455
301,tick  borne encephalitis,goat,0.811348455
302,West Nile virus,red  legged partridge,0.9916422090000001
303, SPF ,chicken,0.978352628
304,TBE,human,0.7697305259999999
305,tick  borne encephalitis virus,cow,0.811348455
306,LIV,human,0.7697305259999999
307,TBEV,human,0.7697305259999999
308,ASFV,human,0.7697305259999999
309,WNV,Eptesicus fuscus,0.92989707
310,WNV,northern myotis,0.780477858
311,WNV,Myotis lucifugus,0.92989707
312,WNV,little brown myotis,0.92989707
313,WNV,Myotis septentrionalis,0.780477858
314,West Nile,Agelaius phoeniceus,0.811348455
315,Japanese encephalitis,Agelaius phoeniceus,0.811348455
316,USUV,blackbird,0.9885914640000001
317,ZIKV,human,0.811348455
318,ZIKV,human,0.811348455
319,TBEV,pig,0.9916422090000001
320,TBEV,reed warbler,0.9916422090000001
321,TBEV,fieldfare,0.9916422090000001
322,TBEV,Acrocephalus dumetorum,0.9916422090000001
323,Japanese encephalitis virus,swine,0.92989707
324,DENV,Carollia perspicillata,0.9988415759999999
325,TBE virus,dog,0.911581805
326,tick  borne encephalitis,monkeys,0.811348455
327,TBE,human,0.7697305259999999
328,SLEV,human,0.811348455
329,TMUV,duck,0.7697305259999999
330,Cherry,duck,0.7697305259999999
331,Uganda S virus,mice,0.811348455
332,VRL,mice,0.7697305259999999
333,JEV,human,0.971334661
334,TBEV,human,0.989716913
335,RKI,human,0.7697305259999999
336,USUV,Chicken,0.5
337,USUV,Chicken,0.5
338,USUV,Chicken,0.21137518
339,USUV,Chicken,0.21137518
340,USUV,Chicken,0.21137518
341,USUV,Chicken,0.21137518
342,USUV,Chicken,0.21137518
343,USUV,Chicken,0.21137518
344,USUV,Chicken,0.21137518
345,USUV,Chicken,0.21137518
346,USUV,Chicken,0.21137518
347,USUV,Chicken,0.21137518
348,USUV,Chicken,0.21137518
349,USUV,Chicken,0.21137518
350,USUV,Chicken,0.21137518
351,USUV,Chicken,0.21137518
352,USUV,Chicken,0.21137518
353,USUV,Chicken,0.21137518
354,USUV,Chicken,0.21137518
355,USUV,Chicken,0.21137518
356,TBEV,Chicken,0.245508239
357,TBEV,Chicken,0.245508239
358,TBEV,Chicken,0.245508239
359,TBEV,Chicken,0.245508239
360,TBEV,Chicken,0.245508239
361,TBEV,Chicken,0.245508239
362,TBEV,Chicken,0.245508239
363,TBEV,Chicken,0.245508239
364,TBEV,Chicken,0.245508239
365,TBEV,Chicken,0.245508239
366,TBEV,Chicken,0.245508239
367,TBEV,Chicken,0.245508239
368,TBEV,Chicken,0.245508239
369,TBEV,Chicken,0.245508239
370,TBEV,Chicken,0.245508239
371,TBEV,Chicken,0.245508239
372,TBEV,Chicken,0.245508239
373,TBEV,Chicken,0.245508239
374,TBEV,Chicken,0.245508239
375,TBEV,Chicken,0.245508239
376,USUTU virus,Chicken,0.245508239
377,USUTU virus,Chicken,0.245508239
